INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY,COEFFICIENT_A,COEFFICIENT_B
BFLOAT16,L1_INTERLEAVED,L1_INTERLEAVED,10.982959802747969,2394.6598951220194
BFLOAT4_B,L1_INTERLEAVED,L1_INTERLEAVED,5.1032907747523355,2314.6488773375054
BFLOAT8_B,L1_INTERLEAVED,L1_INTERLEAVED,5.954870231452981,2652.7228325965493
BFLOAT16,L1_INTERLEAVED,DRAM_INTERLEAVED,14.921504452312586,2902.532399084315
BFLOAT4_B,L1_INTERLEAVED,DRAM_INTERLEAVED,7.6496888965556025,2322.429112787962
BFLOAT8_B,L1_INTERLEAVED,DRAM_INTERLEAVED,8.780858865621518,2490.584259943062
BFLOAT16,DRAM_INTERLEAVED,L1_INTERLEAVED,10.645846067417647,3707.359721215246
BFLOAT4_B,DRAM_INTERLEAVED,L1_INTERLEAVED,7.251732467213256,2259.039745380996
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,8.041155144743476,2568.995411812173
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,20.250106106920427,3805.905900632821
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8.244604974672319,2271.9508136585614
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,11.330473029803148,2526.122871807838
